Trial,ND,Genotype,OnTransientPositive,OffTransientNegative,SteadyState,Repeat,Fly
823,3,CKO,4.35667821467214,-3.36942951701458,-9.098173367404,3,33
824,3,CKO,7.02799895889479,-7.24509049359899,-9.14072160733822,4,33
825,3,CKO,2.33268604055686,-0.93638528041038,-4.08860042972369,5,33
826,3,CKO,5.64838630295729,-5.38141147003318,-8.79394438571937,6,33
827,3,CKO,3.37503684094301,-5.83119786736678,-8.96999358186658,7,33
828,3,CKO,3.10218718784379,-3.71718296705026,-8.95205727401209,8,33
829,3,CKO,3.95014087890787,-5.53634283405521,-14.2241185651377,9,33
830,3,CKO,4.56427376936867,-6.67710930965067,-7.00518416137413,10,33
831,3,CKO,4.25378094315085,-4.73111523798994,-7.06345536887907,1,35
832,3,CKO,4.87218138573675,-4.20991720046134,-11.9931050792881,2,35
833,3,CKO,7.08209684212036,-7.79346495393661,-6.76406292946674,3,35
834,3,CKO,4.22636265239634,-3.13598050551912,-11.0727992019446,4,35
835,3,CKO,4.1926381165744,-3.73628478645759,-9.20842552495634,5,35
836,3,CKO,6.99017810626565,-7.17988685649832,-9.01254994908676,6,35
837,3,CKO,2.32213648311163,-1.13334036650206,-4.36753375771213,7,35
838,3,CKO,5.92913947884829,-5.58587990129166,-8.61720209559545,8,35
839,3,CKO,3.50602512869023,-6.00249624083411,-8.9832259524692,9,35
840,3,CKO,3.00378397485023,-3.70812235833983,-9.19881449702757,10,35
841,3,CKO,3.90419000899888,-5.7789179471254,-14.137745979949,1,39
842,3,CKO,4.23958595800252,-7.3802162752016,-7.20510158248246,2,39
843,3,CKO,4.19616796185619,-4.68375241236532,-7.11129311262535,3,39
844,3,CKO,4.6996242775193,-3.77493371211757,-11.4781692643962,4,39
845,3,CKO,6.97906314093501,-7.96220883083039,-6.49291602544295,5,39
846,3,CKO,4.12432284698108,-2.94011096163866,-10.608428979051,6,39
847,3,CKO,4.1264568583794,-3.94117876407569,-9.19237261349485,7,39
848,3,CKO,6.93278149804778,-7.35542402823734,-9.06936132473075,8,39
849,3,CKO,2.42185925409893,-1.04692653732953,-4.00349112443201,9,39
850,3,CKO,5.8543565922618,-5.57459077073768,-9.00583189961248,10,39
851,3,CKO,3.42438974915935,-5.95866335259156,-8.85559544080937,1,46
852,3,CKO,2.95876894213751,-3.62607385885859,-9.49714304452836,2,46
853,3,CKO,3.90988940458431,-5.77586663825561,-14.2192828376514,3,46
854,3,CKO,4.38385568673739,-7.31259177471445,-6.82713985798232,4,46
855,3,CKO,4.05143772341014,-4.68346874646942,-7.22855949892775,5,46
856,3,CKO,4.81452393099153,-3.97373781540955,-12.010347194358,6,46
857,3,CKO,7.03488308545867,-7.8308853433001,-6.45566966940837,7,46
858,3,CKO,4.11748372250972,-2.94117749773189,-10.9283025353322,8,46
859,3,CKO,4.25308700357002,-4.22739159768646,-9.2784017408566,9,46
860,3,CKO,6.94606801365529,-7.14098782317642,-8.77497486675964,10,46
861,3,CKO,2.422026459663,-1.17854959595639,-4.30950871588925,1,48
862,3,CKO,5.78892879156453,-5.62277139629339,-8.64775011683393,2,48
863,3,CKO,3.33910533313284,-5.70966456659197,-9.50724932879266,3,48
864,3,CKO,2.98636181391986,-3.45622139106767,-9.41201624061262,4,48
865,3,CKO,3.8729654605549,-5.81859421732047,-14.7512957871944,5,48
866,3,CKO,4.27271257439818,-7.37900571526326,-7.40060182231072,6,48
867,3,CKO,4.16062705922231,-4.62746211770506,-7.1753491024961,7,48
868,3,CKO,4.53799046841815,-3.79941226062955,-11.4381046306306,8,48
869,3,CKO,6.97109098914097,-7.74923336791786,-6.3344036994693,9,48
870,3,CKO,3.99113833885623,-2.93670670289981,-10.3651842796748,10,48
871,3,CKO,4.11100643303918,-4.40529867057129,-9.29637181780361,1,50
872,3,CKO,7.02285781452268,-7.30027711063742,-9.25523540217302,2,50
873,3,CKO,2.56506517082583,-1.00103740998662,-3.93348759713707,3,50
874,3,CKO,6.04672922260413,-5.68271465896204,-8.88741622194017,4,50
875,3,CKO,3.44711929400898,-5.89851347118413,-8.86977874946128,5,50
876,3,CKO,2.98004377387882,-3.69908655680504,-9.56636311011372,6,50
877,3,CKO,3.57052451946798,-6.15434751633141,-16.2119214022762,7,50
878,3,CKO,4.45130106727966,-7.22014608950011,-6.8487494797455,8,50
879,3,CKO,4.17847891735211,-4.68347305444764,-7.18708974460112,9,50
880,3,CKO,4.65324891429775,-3.93854177254675,-11.8659078691318,10,50
881,3,CKO,7.05417625327116,-7.95135058237992,-6.59728127182807,1,54
882,3,CKO,3.85962959526694,-3.00454498294172,-10.6547121416626,2,54
883,3,CKO,4.01929442689073,-4.42926963179755,-9.22020497180734,3,54
884,3,CKO,7.0352725683849,-7.16633510451554,-8.75454791450088,4,54
885,3,CKO,2.55429393240221,-1.19905076727083,-4.18950716775566,5,54
886,3,CKO,6.06324817820432,-5.62739624854933,-8.7362212173114,6,54
887,3,CKO,3.51543045773861,-5.82457115076476,-9.15908560524404,7,54
888,3,CKO,3.06369106492363,-3.4695344392999,-9.55769597412323,8,54
889,3,CKO,3.90029010879662,-6.01437526591741,-16.070092594431,9,54
890,3,CKO,4.10858676040821,-7.14725583588525,-7.08910528834689,10,54
891,3,CKO,4.17349005876117,-4.63255509906146,-7.2032494751674,1,56
892,3,CKO,4.72862413932822,-3.86579395709515,-11.3207811769119,2,56
893,3,CKO,7.07173174918615,-7.66271123064324,-6.35860731631707,3,56
894,3,CKO,3.94841174037467,-3.0846897108298,-10.4662632169324,4,56
895,3,CKO,4.07808332275723,-4.490329869642,-9.21911502051535,5,56
896,3,CKO,7.21551988441555,-7.28163863035315,-8.98848595796697,6,56
897,3,CKO,2.64093887954591,-1.0225852218564,-3.84624223231648,7,56
898,3,CKO,5.90563107973254,-5.68761886252737,-9.07661119955506,8,56
899,3,CKO,3.51192924319774,-5.71940663799266,-8.81076017181997,9,56
900,3,CKO,3.05960942639862,-4.42888331272838,-9.56812793552632,10,56
901,3,CKO,3.93194213731723,-6.46819588962971,-17.2479409881584,1,58
902,3,CKO,4.49992741983279,-6.551995757836,-6.9618204170562,2,58
903,3,CKO,4.14836337966845,-4.71271902398194,-7.23938447942066,3,58
904,3,CKO,4.38962573993277,-4.07057425514978,-11.3924679787141,4,58
905,3,CKO,7.04217145154395,-7.63900465861103,-6.64950300442336,5,58
906,3,CKO,3.89002770668236,-3.10135978655136,-10.833432528925,6,58
907,3,CKO,4.10282501836318,-4.54310563693303,-9.36116586455219,7,58
908,3,CKO,7.2303108167846,-7.25368096559052,-8.83727228877198,8,58
